Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9202769,0000047C,false,Rx,4,6,8B,1F,0B,1D,0B,1C,00,00,
9203773,000007EC,false,Rx,4,8,0D,0F,00,00,00,00,10,28,
9206529,0000046D,false,Rx,4,6,8B,0E,0B,0C,0B,17,00,00,
9207326,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
9208320,000007ED,false,Rx,4,8,0D,09,00,00,00,00,10,23,
9211512,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
9212300,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
9213344,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
10030164,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
10126671,00000460,false,Rx,4,6,8B,11,0B,0F,0B,19,00,00,
10127620,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
10128955,00000460,false,Rx,4,8,8B,11,0B,12,0B,1C,0B,1C,
10129868,00000460,false,Rx,4,8,8B,09,0B,08,0B,12,0B,12,
10130779,00000470,false,Rx,4,8,8B,19,0B,19,0B,1B,0B,1C,
10131701,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,12,
10132706,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
10133690,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
10134613,00000470,false,Rx,4,8,80,01,0B,19,0B,1A,0B,19,
10135705,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
10136549,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
10143362,00000463,false,Rx,4,8,8B,11,0B,14,0B,1E,0B,1D,
10144303,00000473,false,Rx,4,8,8B,1F,0B,1E,0B,1F,0B,1D,
10145296,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
10182962,00000468,false,Rx,4,8,8B,0B,0B,0C,0B,13,0B,12,
10183850,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,12,
10184845,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
